customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,poly_tenure^2,poly_tenure MonthlyCharges,poly_tenure TotalCharges,poly_MonthlyCharges^2,poly_MonthlyCharges TotalCharges,poly_TotalCharges^2,tenure_x_monthly,monthly_x_total,tenure_x_total,AvgMonthlyCharge,ServiceDiversityScore,StabilityIndex,log_TotalCharges,normalized_tenure,normalized_ServiceDiversityScore,normalized_StabilityIndex,standardized_MonthlyCharges,standardized_AvgMonthlyCharge,onehot_InternetService_Fiber optic,onehot_InternetService_No,onehot_PaymentMethod_Credit card (automatic),onehot_PaymentMethod_Electronic check,onehot_PaymentMethod_Mailed check,label_Contract,freq_gender,freq_PaymentMethod,equal_width_MonthlyCharges,equal_freq_TotalCharges,custom_tenure_bins,binned_equal_width_MonthlyCharges_0.0,binned_equal_width_MonthlyCharges_1.0,binned_equal_width_MonthlyCharges_2.0,binned_equal_width_MonthlyCharges_3.0,binned_equal_width_MonthlyCharges_4.0,binned_equal_freq_TotalCharges_0.0,binned_equal_freq_TotalCharges_1.0,binned_equal_freq_TotalCharges_2.0,binned_equal_freq_TotalCharges_3.0,binned_custom_tenure_bins_0,binned_custom_tenure_bins_1,binned_custom_tenure_bins_2,binned_custom_tenure_bins_3,binned_custom_tenure_bins_4
1830-GGFNM,Male,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),94.55,6078.75,No,4225.0,6145.75,395118.75,8939.7025,574745.8125,36951201.5625,6145.75,574745.8125,395118.75,93.51923076923077,7,130.0,8.712718855693774,0.9014084507042254,0.75,0.9020979020979021,0.9815557839637743,0.9437613778746228,True,False,True,False,False,2,0.5018666666666667,0.216,3.0,3.0,4,False,False,False,True,False,False,False,False,True,False,False,False,False,True
4501-VCPFK,Male,0,No,No,26,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,35.75,1022.5,No,676.0,929.5,26585.0,1278.0625,36554.375,1045506.25,929.5,36554.375,26585.0,39.32692307692308,3,26.0,6.930983405101344,0.35211267605633806,0.25,0.17482517482517482,-0.9715455124063844,-0.8492979951527723,False,False,False,True,False,0,0.5018666666666667,0.3390222222222222,0.0,1.0,3,True,False,False,False,False,False,True,False,False,False,False,False,True,False
8871-JLMHM,Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),90.2,6297.65,No,4624.0,6133.6,428240.19999999995,8136.040000000001,568048.03,39660395.52249999,6133.6,568048.03,428240.19999999995,92.6125,6,136.0,8.748090603702874,0.943661971830986,0.625,0.9440559440559441,0.8370661472425127,0.913760402204558,True,False,True,False,False,2,0.4981333333333333,0.216,3.0,3.0,4,False,False,False,True,False,False,False,False,True,False,False,False,False,True
0225-ZORZP,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,84.3,235.05,No,9.0,252.89999999999998,705.1500000000001,7106.49,19814.715,55248.5025,252.89999999999998,19814.715,705.1500000000001,78.35000000000001,4,3.0,5.4640436469922955,0.02816901408450704,0.375,0.013986013986013988,0.6410916974366633,0.44185746252898445,True,False,False,True,False,0,0.5018666666666667,0.3390222222222222,3.0,0.0,0,False,False,False,True,False,True,False,False,False,True,False,False,False,False
1530-ZTDOZ,Female,0,Yes,No,49,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),40.65,2070.75,No,2401.0,1991.85,101466.75,1652.4225,84175.9875,4288005.5625,1991.85,84175.9875,101466.75,42.26020408163265,3,49.0,7.636148939729152,0.676056338028169,0.25,0.3356643356643357,-0.8087870710422046,-0.7522446083680594,False,False,False,False,False,0,0.4981333333333333,0.21955555555555556,1.0,2.0,4,False,True,False,False,False,False,False,True,False,False,False,False,False,True
4654-DLAMQ,Female,1,Yes,No,64,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),97.0,6430.9,No,4096.0,6208.0,411577.6,9409.0,623797.2999999999,41356474.809999995,6208.0,623797.2999999999,411577.6,100.4828125,6,96.0,8.76902526347426,0.8873239436619719,0.625,0.6643356643356644,1.0629350046458643,1.174165212365148,True,False,False,False,False,1,0.4981333333333333,0.21955555555555556,3.0,3.0,4,False,False,False,True,False,False,False,False,True,False,False,False,False,True
7319-VENRZ,Male,0,No,No,7,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),64.3,445.95,No,49.0,450.09999999999997,3121.65,4134.49,28674.585,198871.4025,450.09999999999997,28674.585,3121.65,63.707142857142856,5,7.0,6.1024467315338615,0.08450704225352114,0.5,0.04195804195804196,-0.023228471396724102,-0.042630343322988686,False,False,False,False,False,0,0.5018666666666667,0.21955555555555556,2.0,1.0,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False
5482-VXSXJ,Male,0,No,No,22,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.2,2157.3,No,484.0,2050.4,47460.600000000006,8686.24,201060.36000000002,4653943.290000001,2050.4,201060.36000000002,47460.600000000006,98.05909090909091,5,22.0,7.677076153764925,0.295774647887324,0.5,0.14685314685314685,0.9367141725675209,1.0939716036916929,True,False,False,False,True,0,0.5018666666666667,0.22542222222222222,3.0,2.0,2,False,False,False,True,False,False,False,True,False,False,False,True,False,False
5012-YSPJJ,Male,0,Yes,Yes,31,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,54.35,1647.0,No,961.0,1684.8500000000001,51057.0,2953.9225,89514.45,2712609.0,1684.8500000000001,89514.45,51057.0,53.12903225806452,4,31.0,7.4073177104694174,0.4225352112676057,0.375,0.20979020979020976,-0.35372775539133416,-0.3926279936590738,False,False,False,False,True,0,0.5018666666666667,0.22542222222222222,1.0,2.0,3,False,True,False,False,False,False,False,True,False,False,False,False,True,False
9239-ZBZZV,Female,0,No,No,6,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,47.95,305.1,Yes,36.0,287.70000000000005,1830.6000000000001,2299.2025000000003,14629.545000000002,93086.01000000001,287.70000000000005,14629.545000000002,1830.6000000000001,50.85,4,6.0,5.723911845951367,0.07042253521126761,0.375,0.03496503496503497,-0.5663102094180181,-0.46803427041252565,False,False,False,True,False,0,0.4981333333333333,0.3390222222222222,1.0,0.0,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False
