Model,ACCURACY_mean,ACCURACY_std,PRECISION_mean,PRECISION_std,RECALL_mean,RECALL_std,ROC_AUC_mean,ROC_AUC_std
Logistic Regression,0.7888,0.006250096295554481,0.653613731717438,0.012425162745764783,0.4374581939799331,0.041309425168279616,0.8217128118749344,0.008724404902935358
Decision Tree,0.7274666666666666,0.006400000000000006,0.4876122143339033,0.011872499378229344,0.4976588628762542,0.024061679931244084,0.6587705588442508,0.010720382119544744
Random Forest,0.7722666666666667,0.007757306392629838,0.5896769439518297,0.02105892074004397,0.474247491638796,0.021818737699398127,0.8038024245467135,0.013433027180579319
XGBoost,0.7749333333333333,0.010628078348540545,0.5922281760207456,0.032132393703302106,0.5016722408026755,0.030063150574239753,0.8177184642917877,0.009581293404672004
LightGBM,0.7811555555555556,0.002942745841288335,0.6088384201576733,0.008488712050415728,0.49565217391304345,0.03387020441785194,0.8241989035283067,0.008140467669303566
CatBoost,0.7909333333333333,0.005548261878871903,0.639400005215063,0.013004105571458086,0.49030100334448157,0.03301394696790117,0.8355689262837384,0.00914194428719596
Support Vector Classifier,0.7342222222222222,0.0,0.0,0.0,0.0,0.0,0.5739442208491582,0.048252470891444126
Naive Bayes,0.4855111111111111,0.019142300131410203,0.31747933757628355,0.01129649703299763,0.8127090301003346,0.020939767013375944,0.7279669114967567,0.021166738045046343
K-Nearest Neighbors,0.7662222222222221,0.005922962221851644,0.5785576214021054,0.014904454570698963,0.4441471571906355,0.023686864494482644,0.7407804060346432,0.0090853915752773
Gradient Boosting,0.7916444444444445,0.007299720948496977,0.6391650254827147,0.011484946816809557,0.49498327759197325,0.03462790396132383,0.8389956027760007,0.00742150831474863
AdaBoost,0.7884444444444444,0.007066526902880661,0.6323713533166203,0.01914306889194437,0.4882943143812709,0.01744268202060908,0.8345129446824362,0.008673065431537777
Extra Trees,0.7527111111111111,0.007230115344946735,0.5410191211888733,0.01685989435674158,0.4628762541806021,0.010909368849699076,0.7820738215358702,0.015289035358967211
